Title,Price
Suzuki FX  1987 GA for Sale,PKR 3 lacs
Suzuki Khyber  1992 GA for Sale,PKR 2.9 lacs
Suzuki Mehran  2005 VX for Sale,PKR 3.3 lacs
Suzuki Khyber  1996  for Sale,PKR 3.7 lacs
Suzuki Mehran  1990 VXR (CNG) for Sale,PKR 3.9 lacs
Suzuki FX  1987 GA for Sale,PKR 3.2 lacs
Daihatsu Charade  1984  for Sale,PKR 2.05 lacs
Suzuki Khyber  1995 GA for Sale,PKR 2.65 lacs
Hyundai Excel  1993 Basegrade for Sale,PKR 2.8 lacs
Suzuki Cultus  2022 VXR for Sale,PKR 3.4 lacs
Suzuki Khyber  1996 GA for Sale,PKR 3.5 lacs
Daihatsu Charade  1984 CX for Sale,PKR 3.1 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.95 lacs
Daihatsu Charade  1988 CX for Sale,PKR 2.75 lacs
Suzuki Alto  2005 VXR for Sale,PKR 3.95 lacs
Toyota Corolla  2009 GLi 1.3 VVTi for Sale,PKR 2.35 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.9 lacs
Daihatsu Charade  1987  for Sale,PKR 3.2 lacs
Datsun 120 Y  1980 Y 1.2 for Sale,PKR 3.9 lacs
Honda Civic  1984  for Sale,PKR 3.8 lacs
KIA Pride  1996  for Sale,PKR 3 lacs
KIA Classic  2002 LX for Sale,PKR 4 lacs
Nissan Sunny  1983  for Sale,PKR 2.9 lacs
Suzuki Mehran  2006 VX for Sale,PKR 4 lacs
Nissan Sunny  1985  for Sale,PKR 3.7 lacs
Suzuki Bolan  1986  for Sale,PKR 2.8 lacs
Suzuki Bolan  1987  for Sale,PKR 2.5 lacs
Suzuki Khyber  1991  for Sale,PKR 3 lacs
Adam Revo  2006  for Sale,PKR 3.9 lacs
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 3.9 lacs
Suzuki Khyber  1997 GA for Sale,PKR 3.8 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2.5 lacs
Suzuki FX  1986  for Sale,PKR 3.5 lacs
Honda Accord  1984  for Sale,PKR 3.8 lacs
Suzuki Mehran  1993 VXR (CNG) for Sale,PKR 4 lacs
Suzuki FX  1985 GA for Sale,PKR 2.5 lacs
Suzuki Mehran  1999 VX for Sale,PKR 3.35 lacs
Suzuki FX  1987  for Sale,PKR 2 lacs
Changan Gilgit  2004  for Sale,PKR 3.8 lacs
Suzuki Khyber  1998 GA for Sale,PKR 3.3 lacs
Hyundai Excel  1993  for Sale,PKR 3 lacs
Suzuki Margalla  1993 GL for Sale,PKR 3.8 lacs
Suzuki FX  1986 GA for Sale,PKR 2 lacs
Suzuki Mehran  1999 VX (CNG) for Sale,PKR 2.45 lacs
Daihatsu Charade  1998  for Sale,PKR 3 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3 lacs
Daihatsu Charade  1985 CL for Sale,PKR 4 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.5 lacs
Suzuki Mehran  1994 VX for Sale,PKR 3.5 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3 lacs
Suzuki Alto  1991  for Sale,PKR 4 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.95 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3.5 lacs
Suzuki Bolan  1984  for Sale,PKR 3.6 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.3 lacs
Daihatsu Charade  1993 CX for Sale,PKR 3.2 lacs
Daihatsu Charade  1984 CX for Sale,PKR 4 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.5 lacs
Suzuki Alto  1990  for Sale,PKR 2.2 lacs
Suzuki Mehran  2002 VXR for Sale,PKR 4 lacs
Toyota Corolla  1976  for Sale,PKR 2.8 lacs
Suzuki Mehran  1998 VXR for Sale,PKR 3.85 lacs
Daihatsu Charade  1986 CL for Sale,PKR 4 lacs
Nissan Sunny  1991  for Sale,PKR 3.5 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.3 lacs
Suzuki Mehran  1998  for Sale,PKR 3.29 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3 lacs
Suzuki Khyber  1995 GA for Sale,PKR 4 lacs
Suzuki FX  1987 GA for Sale,PKR 3 lacs
Suzuki Mehran  1991 VXR for Sale,PKR 2.35 lacs
Daihatsu Charade  1984  for Sale,PKR 3.2 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.5 lacs
Datsun 120 Y  1979 Y 1.2 for Sale,PKR 4 lacs
Daihatsu Charade  1984 CX for Sale,PKR 2.3 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.7 lacs
Suzuki FX  1985 GA for Sale,PKR 2.3 lacs
Suzuki Mehran  1991 VX (CNG) for Sale,PKR 2.65 lacs
Daihatsu Charade  1988  for Sale,PKR 3.5 lacs
Suzuki Khyber  1989  for Sale,PKR 2 lacs
Suzuki Khyber  1986  for Sale,PKR 3.3 lacs
Suzuki Alto  2000  for Sale,PKR 2.4 lacs
Suzuki FX  1987 GA for Sale,PKR 2.55 lacs
Suzuki Khyber  1998 GA for Sale,PKR 3.25 lacs
Suzuki Khyber  1988 GA for Sale,PKR 3.75 lacs
Suzuki FX  1987 GA for Sale,PKR 2.3 lacs
Nissan Sunny  1985  for Sale,PKR 2 lacs
Suzuki FX  1984 GA for Sale,PKR 2.6 lacs
Suzuki Khyber  1996 Plus for Sale,PKR 2.95 lacs
Daihatsu Charade  1985  for Sale,PKR 3.6 lacs
Suzuki FX  1985 GA for Sale,PKR 2.25 lacs
Suzuki FX  1985 GA for Sale,PKR 2.25 lacs
Suzuki Mehran  1999 VX for Sale,PKR 4 lacs
Suzuki Bolan  1983  for Sale,PKR 2.9 lacs
Suzuki Mehran  1999 VX for Sale,PKR 3.8 lacs
Suzuki Khyber  1992 GA for Sale,PKR 2.9 lacs
Daihatsu Charade  1993 CX for Sale,PKR 2.7 lacs
Suzuki FX  1987 GA for Sale,PKR 2.4 lacs
Suzuki Khyber  1992 GA for Sale,PKR 2.9 lacs
Suzuki Mehran  1999 VXR (CNG) for Sale,PKR 3.9 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.9 lacs
Daihatsu Charade  1985  for Sale,PKR 2.3 lacs
Suzuki FX  1984 GA for Sale,PKR 2.9 lacs
Suzuki Mehran  1995 VX (CNG) for Sale,PKR 3.7 lacs
Suzuki Swift  1987 GL Manual for Sale,PKR 2.85 lacs
Suzuki Margalla  1993  for Sale,PKR 2.7 lacs
Toyota Corolla  1984 GL Saloon for Sale,PKR 2.7 lacs
Suzuki Mehran  1991 VX for Sale,PKR 4 lacs
Suzuki Mehran  1989 VXR for Sale,PKR 2.4 lacs
Nissan Sunny  1984  for Sale,PKR 2 lacs
Suzuki Mehran  1992 VXR for Sale,PKR 2.5 lacs
Nissan Sunny  1990  for Sale,PKR 3.7 lacs
Subaru Pleo  1987  for Sale,PKR 2.7 lacs
Suzuki Alto  1987  for Sale,PKR 2.9 lacs
Suzuki Margalla  1993  for Sale,PKR 3.8 lacs
Daihatsu Charade  1986  for Sale,PKR 3.85 lacs
Suzuki FX  1985 GA for Sale,PKR 3 lacs
Suzuki Mehran  1994  for Sale,PKR 3.8 lacs
Suzuki Mehran  1997 VXR for Sale,PKR 3.8 lacs
Suzuki FX  1986  for Sale,PKR 3.4 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.1 lacs
Suzuki Mehran  1991  for Sale,PKR 3.5 lacs
Suzuki FX  1983 GA for Sale,PKR 2.5 lacs
Suzuki FX  1986  for Sale,PKR 2.5 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.5 lacs
Mitsubishi Lancer  1991  for Sale,PKR 3.8 lacs
KIA Pride  1996 1.3 for Sale,PKR 2.2 lacs
Suzuki Margalla  1996 GL for Sale,PKR 3.75 lacs
Suzuki Khyber  1985  for Sale,PKR 3.5 lacs
Suzuki Ravi  1982  for Sale,PKR 3.3 lacs
Suzuki Khyber  1996 Limited Edition for Sale,PKR 4 lacs
Suzuki Mehran  1996 VX (CNG) for Sale,PKR 3.45 lacs
Suzuki FX  1988 GA for Sale,PKR 2.9 lacs
Suzuki FX  1984 GA for Sale,PKR 2.6 lacs
Toyota Corolla  1980  for Sale,PKR 4 lacs
Toyota Starlet  1986  for Sale,PKR 4 lacs
Suzuki Mehran  1999 VXR (CNG) for Sale,PKR 3.9 lacs
Toyota Corolla  1982  for Sale,PKR 3.8 lacs
Suzuki Mehran  1996 VX for Sale,PKR 4 lacs
Daihatsu Charade  1986  for Sale,PKR 2.6 lacs
Suzuki Mehran  1991 VXR (CNG) for Sale,PKR 3.2 lacs
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 3 lacs
Suzuki Mehran  1990  for Sale,PKR 3.7 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3.1 lacs
Suzuki Mehran  2001 VX for Sale,PKR 3.85 lacs
Suzuki FX  1989  for Sale,PKR 3.6 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.85 lacs
Suzuki Margalla  1993 GL for Sale,PKR 4 lacs
Suzuki Ravi  1984  for Sale,PKR 3.5 lacs
Daihatsu Charade  1987 CX for Sale,PKR 3.6 lacs
Suzuki Khyber  1991 GA for Sale,PKR 2.6 lacs
Suzuki FX  1988 GA for Sale,PKR 3.8 lacs
Toyota Corolla  1974  for Sale,PKR 3.5 lacs
Suzuki FX  1988 GA for Sale,PKR 2.6 lacs
Nissan Sunny  1985  for Sale,PKR 2.5 lacs
Daihatsu Charade  1986  for Sale,PKR 4 lacs
Suzuki Mehran  2000 VX (CNG) for Sale,PKR 3 lacs
Datsun 120 Y  1980 Y 1.2 for Sale,PKR 4 lacs
Suzuki Mehran  2023  for Sale,PKR 3.8 lacs
Suzuki Khyber  1991  for Sale,PKR 3.8 lacs
Honda Civic  1984  for Sale,PKR 3.5 lacs
Daihatsu Charade  1986 DeTomaso for Sale,PKR 3.95 lacs
Daihatsu Charade  1984 CL for Sale,PKR 2.5 lacs
Nissan Sunny  1993  for Sale,PKR 3.1 lacs
Daihatsu Charade  1986 CX for Sale,PKR 3.5 lacs
Mitsubishi Lancer  1991  for Sale,PKR 2.5 lacs
Suzuki Mehran  1998 VXR for Sale,PKR 3.5 lacs
Suzuki Margalla  1996 GL for Sale,PKR 4 lacs
Toyota Corolla  1982  for Sale,PKR 2.2 lacs
Suzuki Khyber  1993 GA for Sale,PKR 3.4 lacs
Suzuki Khyber  1996 GA for Sale,PKR 2.8 lacs
Suzuki Alto  1994  for Sale,PKR 2.8 lacs
Suzuki Mehran  1990 VXR for Sale,PKR 3.2 lacs
Daihatsu Charade  1985 CX for Sale,PKR 3.7 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.3 lacs
Toyota Corolla  2015 XLi VVTi for Sale,PKR 3.3 lacs
Suzuki Khyber  2000 Limited Edition for Sale,PKR 3 lacs
Suzuki FX  1985 GA for Sale,PKR 2.8 lacs
Nissan Sunny  1986  for Sale,PKR 2.5 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.2 lacs
Suzuki Khyber  1990 GA for Sale,PKR 3.2 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.8 lacs
Suzuki Mehran  1995  for Sale,PKR 3.8 lacs
Nissan Sunny  1988  for Sale,PKR 4 lacs
Toyota Corolla  1982  for Sale,PKR 2.7 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3.1 lacs
Suzuki Mehran  1992 VXR for Sale,PKR 3.5 lacs
Suzuki Khyber  1999 GA for Sale,PKR 3.8 lacs
Suzuki Margalla  1993 GL for Sale,PKR 2.8 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.2 lacs
Suzuki FX  1987  for Sale,PKR 2.2 lacs
Suzuki Mehran  1993 VX for Sale,PKR 2.8 lacs
Suzuki Khyber  1997 GA for Sale,PKR 3.3 lacs
Suzuki FX  1986 GA for Sale,PKR 2.8 lacs
Daihatsu Charade  1984 CL for Sale,PKR 3.5 lacs
Suzuki Mehran  1996 VX for Sale,PKR 2.6 lacs
Daihatsu Charade  1985  for Sale,PKR 3.6 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.3 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.5 lacs
Suzuki Ravi  1982  for Sale,PKR 3.75 lacs
Toyota Corolla  1974  for Sale,PKR 2.7 lacs
Toyota Corolla  1986 DX for Sale,PKR 2.6 lacs
Suzuki Mehran  1998 VXR for Sale,PKR 4 lacs
Suzuki Bolan  1988 VX for Sale,PKR 4 lacs
Suzuki FX  1986  for Sale,PKR 2.5 lacs
Suzuki Khyber  1996 GA for Sale,PKR 3.7 lacs
Suzuki Mehran  1996 VXR for Sale,PKR 3.65 lacs
Daihatsu Charade  1988 CX for Sale,PKR 2.75 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.5 lacs
Daihatsu Charade  1986  for Sale,PKR 2.4 lacs
Daihatsu Charade  1986 DeTomaso for Sale,PKR 3.8 lacs
Suzuki Khyber  1991  for Sale,PKR 2.85 lacs
Suzuki FX  1987 GA for Sale,PKR 2.9 lacs
Suzuki FX  1987 GA for Sale,PKR 2.6 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.7 lacs
Hyundai Excel  1993  for Sale,PKR 3.2 lacs
Suzuki Khyber  1993  for Sale,PKR 3.1 lacs
Suzuki Mehran  1997 VX for Sale,PKR 2.8 lacs
Suzuki Khyber  1999 GA for Sale,PKR 2.2 lacs
Suzuki Mehran  1998 VX for Sale,PKR 4 lacs
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 4 lacs
Toyota Starlet  1980  for Sale,PKR 3.5 lacs
KIA Pride  1996 1.1 for Sale,PKR 3.6 lacs
Suzuki FX  1987 GA for Sale,PKR 2.2 lacs
Suzuki FX  1986 GA for Sale,PKR 2.4 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.8 lacs
Suzuki FX  1984 GA for Sale,PKR 2.75 lacs
Nissan Sunny  1985  for Sale,PKR 3.8 lacs
Hyundai Excel  1994  for Sale,PKR 3.1 lacs
KIA Classic  2001 LX for Sale,PKR 4 lacs
Daihatsu Charade  1986 CX for Sale,PKR 2.4 lacs
Suzuki Mehran  1993  for Sale,PKR 3 lacs
Suzuki Mehran  1994  for Sale,PKR 3.5 lacs
Toyota Starlet  1982  for Sale,PKR 3.6 lacs
Suzuki Mehran  1998 VX (CNG) for Sale,PKR 3.8 lacs
Daihatsu Charade  1984  for Sale,PKR 3.2 lacs
Suzuki Khyber  1997 Plus for Sale,PKR 3.75 lacs
Suzuki Mehran  2004 VX (CNG) for Sale,PKR 3.5 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3 lacs
Toyota Corolla  1980  for Sale,PKR 3.65 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.45 lacs
Suzuki Khyber  1997 Limited Edition for Sale,PKR 3.9 lacs
Daihatsu Charade  1985 DeTomaso for Sale,PKR 4 lacs
Suzuki Khyber  1994 GA for Sale,PKR 4 lacs
Suzuki FX  1986 GA for Sale,PKR 3.55 lacs
Suzuki Margalla  1991  for Sale,PKR 3.5 lacs
Suzuki Alto  1991  for Sale,PKR 2.8 lacs
Suzuki Mehran  1996 VXR (CNG) for Sale,PKR 3.15 lacs
Suzuki Bolan  1998 VX for Sale,PKR 3.7 lacs
Suzuki Khyber  1998 Limited Edition for Sale,PKR 4 lacs
Nissan Sunny  1986  for Sale,PKR 3.25 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.65 lacs
Toyota Corolla  1982  for Sale,PKR 3.7 lacs
Suzuki Khyber  1989 GA for Sale,PKR 3.95 lacs
Suzuki Khyber  1992  for Sale,PKR 3.6 lacs
Hyundai Excel  1993 Basegrade for Sale,PKR 4 lacs
Suzuki Khyber  1995 GA for Sale,PKR 4 lacs
Suzuki Mehran  1995  for Sale,PKR 3.35 lacs
Suzuki Bolan  1987  for Sale,PKR 2.7 lacs
Suzuki Bolan  1987  for Sale,PKR 2.7 lacs
Daewoo Racer  1992  for Sale,PKR 3.8 lacs
Suzuki Bolan  1985  for Sale,PKR 3.65 lacs
Suzuki Khyber  1997 Limited Edition for Sale,PKR 4 lacs
Toyota Corolla  1982  for Sale,PKR 2.8 lacs
Suzuki FX  1986 GA for Sale,PKR 2.3 lacs
Suzuki FX  1988 GA for Sale,PKR 3 lacs
Suzuki FX  1986 GA for Sale,PKR 3.4 lacs
Suzuki Mehran  1994 VX for Sale,PKR 2.9 lacs
Nissan Sunny  1989  for Sale,PKR 2.75 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.5 lacs
Suzuki FX  1986 GA for Sale,PKR 2.8 lacs
Daewoo Racer  1999  for Sale,PKR 2.6 lacs
Suzuki FX  1986 GA for Sale,PKR 3.2 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3.5 lacs
Suzuki FX  1986 GA for Sale,PKR 2.8 lacs
Suzuki Mehran  1992  for Sale,PKR 3 lacs
Suzuki Mehran  1989  for Sale,PKR 3.5 lacs
Suzuki FX  1984  for Sale,PKR 2.5 lacs
Suzuki Khyber  1987  for Sale,PKR 3.5 lacs
Suzuki FX  1986 GA for Sale,PKR 3.5 lacs
Suzuki Mehran  1992 VX (CNG) for Sale,PKR 2.5 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.75 lacs
Suzuki FX  1987 GA for Sale,PKR 4 lacs
Suzuki Mehran  1996 VX (CNG) for Sale,PKR 4 lacs
Datsun 1000  1986  for Sale,PKR 3.1 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.5 lacs
Suzuki FX  1987 GA for Sale,PKR 3.15 lacs
Daihatsu Charade  1985  for Sale,PKR 3.1 lacs
Suzuki Khyber  1996 Plus for Sale,PKR 3.3 lacs
Suzuki FX  1987 GA for Sale,PKR 2.1 lacs
Mitsubishi Lancer  1993  for Sale,PKR 4 lacs
Suzuki FX  1985 GA for Sale,PKR 2.85 lacs
Suzuki Mehran  1997 VX for Sale,PKR 3.7 lacs
Suzuki Khyber  1990 GA for Sale,PKR 2.75 lacs
Suzuki Khyber  1989  for Sale,PKR 3.95 lacs
Suzuki Khyber  1997 GA for Sale,PKR 3.7 lacs
Suzuki Khyber  1989  for Sale,PKR 3.2 lacs
Suzuki Mehran  1994 VX for Sale,PKR 2.5 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.9 lacs
Suzuki Mehran  1996 VXR for Sale,PKR 3.5 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.7 lacs
Suzuki FX  1985 GA for Sale,PKR 2 lacs
Honda Civic  1987  for Sale,PKR 2.35 lacs
Toyota Corolla  1980  for Sale,PKR 2.45 lacs
Suzuki Mehran  1990 VX for Sale,PKR 2.95 lacs
Daihatsu Charade  1986  for Sale,PKR 3.8 lacs
Hyundai Excel  1993 Basegrade for Sale,PKR 4 lacs
Daihatsu Charade  1982 G10 for Sale,PKR 2.1 lacs
Suzuki Mehran  1991 VX (CNG) for Sale,PKR 4 lacs
Toyota Corolla  1982  for Sale,PKR 3 lacs
Nissan Sunny  1985  for Sale,PKR 3.35 lacs
Suzuki Khyber  1995  for Sale,PKR 3.8 lacs
Suzuki Khyber  1991  for Sale,PKR 3 lacs
Daihatsu Charade  1988  for Sale,PKR 2.5 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.5 lacs
Suzuki FX  1988 GA for Sale,PKR 2.5 lacs
Suzuki Mehran  1997 VXR for Sale,PKR 3.7 lacs
Suzuki Mehran  1999 VXR for Sale,PKR 3.5 lacs
Hyundai Excel  1993 Basegrade for Sale,PKR 3.05 lacs
Daewoo Racer  1996  for Sale,PKR 2.9 lacs
Suzuki Khyber  1990 GA for Sale,PKR 2.8 lacs
Nissan Sunny  1986  for Sale,PKR 3.5 lacs
Daihatsu Charade  1986 CS for Sale,PKR 3.25 lacs
Suzuki Mehran  1990 VXR for Sale,PKR 3.55 lacs
Suzuki FX  1987 GA for Sale,PKR 3.5 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.25 lacs
Suzuki FX  1987 GA for Sale,PKR 2.5 lacs
Nissan Sunny  1985  for Sale,PKR 3.96 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.4 lacs
Suzuki Khyber  1993  for Sale,PKR 3.2 lacs
Daihatsu Charade  1987 GT-ti for Sale,PKR 3.65 lacs
Honda Accord  1984  for Sale,PKR 3.8 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.5 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.65 lacs
Suzuki Khyber  1991 GA for Sale,PKR 2.8 lacs
Toyota Corolla  1983  for Sale,PKR 3.5 lacs
Suzuki FX  1986 GA for Sale,PKR 2.9 lacs
Toyota Corolla  1974  for Sale,PKR 3.8 lacs
Suzuki Mehran  1989 VX for Sale,PKR 2.5 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.8 lacs
Suzuki Khyber  1991  for Sale,PKR 2 lacs
Suzuki Bolan  1985  for Sale,PKR 2.8 lacs
Suzuki Mehran  1994 VX (CNG) for Sale,PKR 3.7 lacs
Suzuki Khyber  1994 GA for Sale,PKR 3.6 lacs
Toyota Starlet  1980  for Sale,PKR 2.4 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3 lacs
Honda Civic  1986  for Sale,PKR 3.25 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.75 lacs
Suzuki Bolan  1987  for Sale,PKR 3.6 lacs
Daihatsu Charade  1988  for Sale,PKR 3.85 lacs
