Title,Price
Suzuki Khyber  1992 GA for Sale,PKR 3.2 lacs
Suzuki FX  1986 GA for Sale,PKR 2.5 lacs
Suzuki FX  1988 GA for Sale,PKR 2.5 lacs
Suzuki Mehran  1997 VXR for Sale,PKR 4 lacs
Honda Civic  1988  for Sale,PKR 4 lacs
Suzuki Mehran  1990 VXR (CNG) for Sale,PKR 3.3 lacs
Daihatsu Charade  1984 CX for Sale,PKR 2.55 lacs
Daihatsu Charade  1984 CL for Sale,PKR 3.5 lacs
Suzuki FX  1987  for Sale,PKR 2.2 lacs
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 4 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.35 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.75 lacs
Toyota Corolla  1981  for Sale,PKR 4 lacs
Suzuki Margalla  1996 GL for Sale,PKR 4 lacs
Suzuki FX  1987  for Sale,PKR 2.5 lacs
Suzuki FX  1987 GA for Sale,PKR 3.1 lacs
Toyota Corolla  1986 DX Saloon for Sale,PKR 2.9 lacs
Daihatsu Charade  1994  for Sale,PKR 2.75 lacs
Suzuki Margalla  1995  for Sale,PKR 3.75 lacs
Suzuki FX  1985 GA for Sale,PKR 2.2 lacs
Suzuki Mehran  1998 VXR for Sale,PKR 2.8 lacs
Suzuki Mehran  1997 VX for Sale,PKR 3.2 lacs
Suzuki Mehran  1990  for Sale,PKR 3.6 lacs
Suzuki Margalla  1996 GLX for Sale,PKR 3.9 lacs
Suzuki Mehran  1992 VX for Sale,PKR 4 lacs
Suzuki Khyber  1991 GA for Sale,PKR 2.4 lacs
Suzuki FX  1976  for Sale,PKR 3.5 lacs
Suzuki Bolan  1992 VX (CNG) for Sale,PKR 4 lacs
Mitsubishi Lancer  1987  for Sale,PKR 3.5 lacs
Mitsubishi Lancer  1987 GLX 1.3 for Sale,PKR 3.5 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.5 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3 lacs
Suzuki Khyber  1992  for Sale,PKR 2.2 lacs
Toyota Corolla  1982  for Sale,PKR 3.5 lacs
KIA Classic  2001 LX for Sale,PKR 3.4 lacs
Suzuki FX  1986  for Sale,PKR 3.1 lacs
Honda Civic  1988 EXi for Sale,PKR 3.7 lacs
Daihatsu Charade  1984  for Sale,PKR 2.95 lacs
Suzuki Bolan  1985  for Sale,PKR 2.8 lacs
Suzuki Mehran  2004 VX for Sale,PKR 3.95 lacs
Suzuki Khyber  1989 GA for Sale,PKR 2.65 lacs
Suzuki Margalla  1991  for Sale,PKR 3.95 lacs
Honda Accord  1984  for Sale,PKR 3.5 lacs
Suzuki FX  1985 GA for Sale,PKR 3.2 lacs
Suzuki Bolan  1982  for Sale,PKR 3.7 lacs
Suzuki Mehran  2001 VXR (CNG) for Sale,PKR 3.5 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.5 lacs
Suzuki Khyber  1989  for Sale,PKR 2.6 lacs
Suzuki Mehran  1990 VXR for Sale,PKR 3.55 lacs
Suzuki FX  1986 GA for Sale,PKR 2.6 lacs
Suzuki Mehran  1994 VX for Sale,PKR 3.6 lacs
Suzuki FX  1987 GA for Sale,PKR 3.1 lacs
Suzuki FX  1990  for Sale,PKR 2.85 lacs
Suzuki Margalla  1995 GL for Sale,PKR 3.5 lacs
Suzuki Margalla  1994  for Sale,PKR 3.8 lacs
Datsun 1000  1986  for Sale,PKR 3.5 lacs
Suzuki Khyber  1994  for Sale,PKR 4 lacs
Daihatsu Charade  1986 CX for Sale,PKR 3.5 lacs
Daihatsu Charade  1986 CS for Sale,PKR 2.6 lacs
Suzuki Mehran  1990  for Sale,PKR 4 lacs
Daihatsu Charade  1986  for Sale,PKR 3.4 lacs
Mitsubishi Lancer  1989  for Sale,PKR 4 lacs
Toyota Corolla  1986 GL Saloon for Sale,PKR 3 lacs
Suzuki Bolan  1992  for Sale,PKR 3.2 lacs
Suzuki Mehran  1992  for Sale,PKR 4 lacs
Daihatsu Charade  1986 CL for Sale,PKR 2.8 lacs
Suzuki Mehran  1989  for Sale,PKR 4 lacs
Suzuki Mehran  1993 VX (CNG) for Sale,PKR 4 lacs
Suzuki Mehran  1992 VX (CNG) for Sale,PKR 3.7 lacs
Nissan Sunny  1986  for Sale,PKR 3.9 lacs
Suzuki Mehran  1994 VX for Sale,PKR 3.52 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.25 lacs
Suzuki Mehran  1992  for Sale,PKR 4 lacs
Suzuki Mehran  1991 VX for Sale,PKR 2.75 lacs
Suzuki FX  1988 GA for Sale,PKR 2.9 lacs
Suzuki Mehran  1994 VX for Sale,PKR 4 lacs
Suzuki Bolan  1981  for Sale,PKR 3.9 lacs
Suzuki Khyber  1994  for Sale,PKR 3.48 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.1 lacs
Toyota Corolla  1982  for Sale,PKR 3.7 lacs
Suzuki FX  1984 GA for Sale,PKR 2 lacs
Suzuki Margalla  1995 GL for Sale,PKR 3.2 lacs
Suzuki Khyber  1994  for Sale,PKR 3.25 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.8 lacs
Suzuki FX  1983 GA for Sale,PKR 2.8 lacs
KIA Pride  1996  for Sale,PKR 3.95 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.7 lacs
Daihatsu Charade  1986 CX for Sale,PKR 2 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2 lacs
Suzuki Bolan  1992  for Sale,PKR 4 lacs
Suzuki FX  1985 GA for Sale,PKR 2.4 lacs
Suzuki Mehran  1995 VX for Sale,PKR 3.6 lacs
Toyota Corolla  1983  for Sale,PKR 3.9 lacs
Suzuki Margalla  1994 GL for Sale,PKR 3.5 lacs
Suzuki Mehran  1990 VX for Sale,PKR 2.9 lacs
Toyota Corolla  1974  for Sale,PKR 2.5 lacs
Mitsubishi Lancer  1990  for Sale,PKR 3.65 lacs
Suzuki Carry  1982  for Sale,PKR 3.5 lacs
Toyota Corolla  1981  for Sale,PKR 2.8 lacs
Daihatsu Charade  1987 CL for Sale,PKR 3.5 lacs
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 3.5 lacs
Suzuki Khyber  1997  for Sale,PKR 3.4 lacs
KIA Classic  2001 LX for Sale,PKR 3.5 lacs
Hyundai Excel  1993  for Sale,PKR 3.55 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2.8 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.85 lacs
Suzuki Mehran  1999 VX for Sale,PKR 4 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2.9 lacs
Suzuki FX  1985 GA for Sale,PKR 2.5 lacs
Hyundai Excel  1993  for Sale,PKR 2.95 lacs
Suzuki FX  1986 GA for Sale,PKR 2.35 lacs
Suzuki Khyber  1995 GA for Sale,PKR 2.75 lacs
Suzuki FX  1986 GA for Sale,PKR 3.7 lacs
Suzuki Khyber  1996 GA for Sale,PKR 2.75 lacs
Toyota 86  1986  for Sale,PKR 3.8 lacs
Toyota Corolla  1985  for Sale,PKR 3.1 lacs
Suzuki Khyber  1998  for Sale,PKR 3 lacs
Daihatsu Charade  1986  for Sale,PKR 3.6 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.55 lacs
Daihatsu Charade  1985 CS for Sale,PKR 3.1 lacs
Nissan Sunny  1984  for Sale,PKR 2.8 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.55 lacs
Daihatsu Charade  1986 CL for Sale,PKR 2.5 lacs
Suzuki Mehran  1996 VXR for Sale,PKR 3.75 lacs
Daihatsu Charade  1984 CS for Sale,PKR 3.2 lacs
Suzuki Khyber  1995 GA for Sale,PKR 3.65 lacs
Suzuki FX  1986 GA for Sale,PKR 3.2 lacs
Suzuki Khyber  1991 GA for Sale,PKR 4 lacs
Suzuki Khyber  1996 GA for Sale,PKR 2.8 lacs
Suzuki Mehran  1990 VXR for Sale,PKR 3.5 lacs
Daihatsu Charade  1986  for Sale,PKR 2.4 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.2 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.7 lacs
Nissan Sunny  1996  for Sale,PKR 3.65 lacs
Toyota Corolla  1974  for Sale,PKR 3.5 lacs
Suzuki Mehran  1997 VX for Sale,PKR 3.4 lacs
Suzuki FX  1987 GA for Sale,PKR 2.2 lacs
Suzuki Mehran  2000 VXR for Sale,PKR 3.99 lacs
Honda Accord  1987  for Sale,PKR 3.7 lacs
Suzuki FX  1986 GA for Sale,PKR 2.65 lacs
Daihatsu Charade  1985 CS for Sale,PKR 2.55 lacs
Suzuki Khyber  1998 Plus for Sale,PKR 3.3 lacs
Toyota Corona  1984  for Sale,PKR 4 lacs
Daewoo Racer  1993  for Sale,PKR 4 lacs
Toyota Corona  1969  for Sale,PKR 3.95 lacs
Suzuki Khyber  2000  for Sale,PKR 4 lacs
Suzuki Khyber  1995 GA for Sale,PKR 3.8 lacs
Honda Civic  1965  for Sale,PKR 3.85 lacs
Suzuki Mehran  1995 VXR for Sale,PKR 3.25 lacs
Suzuki Margalla  1993 GL for Sale,PKR 3.8 lacs
Suzuki FX  1985 GA for Sale,PKR 3 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3.8 lacs
Toyota Corolla  1986 DX for Sale,PKR 2.6 lacs
Honda Accord  1989  for Sale,PKR 3.7 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.5 lacs
Suzuki Khyber  1997 Plus for Sale,PKR 4 lacs
Suzuki Khyber  1994 GA for Sale,PKR 4 lacs
Suzuki Khyber  1995 GA for Sale,PKR 3.8 lacs
Suzuki Khyber  1990  for Sale,PKR 3.8 lacs
Suzuki Mehran  1994 VX for Sale,PKR 2.3 lacs
KIA Pride  1996 1.3 for Sale,PKR 4 lacs
Suzuki Khyber  1990 GA for Sale,PKR 3.5 lacs
Toyota Corolla  1982  for Sale,PKR 3.65 lacs
Suzuki FX  1985  for Sale,PKR 2.8 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.22 lacs
Suzuki FX  1985  for Sale,PKR 3.1 lacs
Ford Other  1993  for Sale,PKR 3.5 lacs
Suzuki FX  1986 GA for Sale,PKR 2.2 lacs
Daihatsu Charade  1986 CX for Sale,PKR 3.95 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.3 lacs
Toyota Corolla  1986  for Sale,PKR 3.25 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.9 lacs
Toyota Corolla  1980  for Sale,PKR 2.25 lacs
Toyota Corolla  1980  for Sale,PKR 4 lacs
Suzuki Khyber  1990  for Sale,PKR 2.85 lacs
Suzuki Bolan  1989 VX for Sale,PKR 3.45 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2.6 lacs
Suzuki FX  1987 GA for Sale,PKR 2.6 lacs
Daihatsu Charade  1985  for Sale,PKR 3.1 lacs
Datsun 120 Y  1973 Y 1.2 for Sale,PKR 3.2 lacs
Suzuki Khyber  1987  for Sale,PKR 3.5 lacs
Daihatsu Charade  1984 CX for Sale,PKR 3.9 lacs
Suzuki Khyber  1996  for Sale,PKR 3.5 lacs
Suzuki Khyber  1993 GA for Sale,PKR 3.25 lacs
Suzuki Khyber  1992 GA for Sale,PKR 2.25 lacs
Daihatsu Charade  1986 CX for Sale,PKR 3.4 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.25 lacs
Suzuki Khyber  1997 GA for Sale,PKR 3.5 lacs
Daihatsu Charade  1984 CS for Sale,PKR 2.7 lacs
Honda Accord  1987  for Sale,PKR 3.65 lacs
Datsun 120 Y  1982  for Sale,PKR 2.3 lacs
Suzuki Mehran  1990 VX (CNG) for Sale,PKR 3.7 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.85 lacs
Suzuki Mehran  1989 VX for Sale,PKR 4 lacs
Honda Civic  1985  for Sale,PKR 3 lacs
Suzuki Khyber  1997 Plus for Sale,PKR 4 lacs
Daihatsu Charade  1986  for Sale,PKR 3.4 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.3 lacs
Honda Civic  1990  for Sale,PKR 4 lacs
Suzuki Mehran  1993 VXR for Sale,PKR 4 lacs
Hyundai Excel  1993  for Sale,PKR 3.5 lacs
Daihatsu Charade  1993  for Sale,PKR 2.4 lacs
Suzuki Mehran  1989 VXR for Sale,PKR 2.9 lacs
KIA Classic  2003  for Sale,PKR 3.5 lacs
Suzuki Khyber  1995 GA for Sale,PKR 3.8 lacs
Suzuki Margalla  1990  for Sale,PKR 3 lacs
Suzuki Mehran  1996 VXR (CNG) for Sale,PKR 2.9 lacs
Suzuki Khyber  1990 GA for Sale,PKR 2.4 lacs
KIA Classic  2001 LX for Sale,PKR 3.95 lacs
Suzuki Khyber  1985  for Sale,PKR 3.5 lacs
Suzuki Khyber  1989 Limited Edition for Sale,PKR 3.1 lacs
Suzuki Mehran  1997 VX for Sale,PKR 3.65 lacs
Suzuki Khyber  1990 GA for Sale,PKR 2.8 lacs
Daihatsu Charade  1987 CL for Sale,PKR 3.4 lacs
Suzuki FX  1988  for Sale,PKR 2.8 lacs
Mitsubishi Lancer  1988  for Sale,PKR 3.5 lacs
Suzuki Mehran  1992 VXR for Sale,PKR 3.75 lacs
Suzuki Mehran  1990 VX (CNG) for Sale,PKR 3.9 lacs
Daihatsu Charade  1984 DeTomaso for Sale,PKR 3 lacs
Nissan Sunny  1986  for Sale,PKR 3.6 lacs
Suzuki FX  1986 GA for Sale,PKR 4 lacs
Subaru Trezia  1993  for Sale,PKR 4 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.6 lacs
Daihatsu Charade  1984  for Sale,PKR 3.65 lacs
Suzuki Ravi  1981  for Sale,PKR 2.3 lacs
Daewoo Racer  1997  for Sale,PKR 4 lacs
Suzuki Khyber  1993  for Sale,PKR 2.6 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.85 lacs
Suzuki FX  1986 GA for Sale,PKR 2.89 lacs
Toyota Corolla  1985 DX for Sale,PKR 3.5 lacs
Mitsubishi Lancer  1986  for Sale,PKR 3.75 lacs
Daihatsu Charade  1993 GT-ti for Sale,PKR 3.4 lacs
Hyundai Excel  1993  for Sale,PKR 3.5 lacs
Suzuki Mehran  1998 VX for Sale,PKR 3.8 lacs
Daihatsu Charade  1984  for Sale,PKR 2.4 lacs
Suzuki Mehran  1999 VX for Sale,PKR 2.95 lacs
Nissan Sunny  1986 EX Saloon 1.3 for Sale,PKR 3.5 lacs
Mitsubishi Lancer  1990  for Sale,PKR 3.95 lacs
Suzuki FX  1984 GA for Sale,PKR 2.75 lacs
Suzuki Mehran  1991 VXR for Sale,PKR 3.7 lacs
Daihatsu Charade  1998  for Sale,PKR 2.55 lacs
Suzuki Mehran  1998 VXR for Sale,PKR 4 lacs
Suzuki Khyber  1965  for Sale,PKR 3.75 lacs
Suzuki Khyber  1994  for Sale,PKR 3.3 lacs
Suzuki Bolan  1982  for Sale,PKR 2.75 lacs
Suzuki Khyber  1999 GA for Sale,PKR 4 lacs
Suzuki Mehran  1991 VXR for Sale,PKR 3.5 lacs
Suzuki Mehran  1990 VX for Sale,PKR 2.8 lacs
Toyota Corolla  1982  for Sale,PKR 2.85 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.5 lacs
Suzuki FX  1984  for Sale,PKR 3.4 lacs
Suzuki FX  1986 GA for Sale,PKR 2.25 lacs
Suzuki Bolan  1987  for Sale,PKR 4 lacs
Mitsubishi Lancer  1986  for Sale,PKR 3.8 lacs
Suzuki Khyber  1994  for Sale,PKR 4 lacs
Suzuki FX  1985  for Sale,PKR 3.5 lacs
Suzuki Mehran  1993  for Sale,PKR 4 lacs
Suzuki Khyber  1998  for Sale,PKR 3.8 lacs
Suzuki Mehran  1989 VXR for Sale,PKR 3.5 lacs
Suzuki Khyber  1989 GA for Sale,PKR 3.45 lacs
Hyundai Accent  1993  for Sale,PKR 4 lacs
Toyota Corolla  1982  for Sale,PKR 3.9 lacs
Suzuki Khyber  1997 GA for Sale,PKR 3.85 lacs
Suzuki Khyber  1994  for Sale,PKR 3.2 lacs
Daihatsu Charade  1986 CL for Sale,PKR 2.8 lacs
Suzuki Khyber  1991  for Sale,PKR 3.25 lacs
Suzuki FX  1985 GA for Sale,PKR 3.1 lacs
Daihatsu Charade  1987  for Sale,PKR 2.1 lacs
Subaru Pleo  1986  for Sale,PKR 3.15 lacs
Toyota Starlet  1980 1.0 for Sale,PKR 2.5 lacs
KIA Classic  2002 LX for Sale,PKR 4 lacs
Suzuki FX  1987 GA for Sale,PKR 4 lacs
Suzuki Bolan  1983  for Sale,PKR 2.95 lacs
Honda Accord  1987  for Sale,PKR 3.6 lacs
Suzuki Mehran  1990 VX for Sale,PKR 2.6 lacs
Suzuki FX  1986 GA for Sale,PKR 2.4 lacs
Fiat Other  1993  for Sale,PKR 2.85 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.69 lacs
Suzuki Khyber  1991  for Sale,PKR 3.5 lacs
Suzuki Mehran  1993  for Sale,PKR 3 lacs
Daihatsu Charade  1986  for Sale,PKR 3.7 lacs
Suzuki Mehran  1995 VX for Sale,PKR 3.9 lacs
Nissan Sunny  1983  for Sale,PKR 3.8 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.8 lacs
Suzuki Khyber  1994  for Sale,PKR 3.25 lacs
Suzuki Khyber  1993 GA for Sale,PKR 2.7 lacs
Suzuki Mehran  1995 VXR for Sale,PKR 4 lacs
Subaru Pleo  1987  for Sale,PKR 2.8 lacs
Suzuki Khyber  1992 GA for Sale,PKR 3.6 lacs
Suzuki Khyber  1992  for Sale,PKR 3.2 lacs
Adam Revo  2006  for Sale,PKR 4 lacs
Suzuki FX  1984  for Sale,PKR 2.3 lacs
Toyota Corona  1974  for Sale,PKR 4 lacs
Suzuki Mehran  1999 VX for Sale,PKR 4 lacs
Suzuki Mehran  1992 VXR for Sale,PKR 4 lacs
Daihatsu Charade  1984 CL for Sale,PKR 2.1 lacs
Toyota Sprinter  1987  for Sale,PKR 3.9 lacs
Daihatsu Charade  1984 CL for Sale,PKR 3.1 lacs
Suzuki Mehran  1999 VX (CNG) for Sale,PKR 4 lacs
Suzuki Khyber  1989 GA for Sale,PKR 3.3 lacs
Suzuki Khyber  1989 GA for Sale,PKR 2.5 lacs
Suzuki Khyber  1998 Limited Edition for Sale,PKR 4 lacs
Daihatsu Charade  1984  for Sale,PKR 4 lacs
Suzuki Mehran  1989 VXR for Sale,PKR 3 lacs
Mitsubishi Lancer  1986  for Sale,PKR 3.75 lacs
Suzuki Mehran  1998 VXR for Sale,PKR 3.45 lacs
Suzuki FX  1988 GA for Sale,PKR 2.3 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.5 lacs
Suzuki Khyber  1992  for Sale,PKR 3.5 lacs
Daihatsu Charade  1986 CL for Sale,PKR 3.6 lacs
Suzuki Mehran  1992 VX for Sale,PKR 3.98 lacs
Suzuki Khyber  1996  for Sale,PKR 4 lacs
Suzuki Khyber  1994 GA for Sale,PKR 2.1 lacs
Suzuki FX  1987  for Sale,PKR 3.6 lacs
Suzuki Khyber  1995 GA for Sale,PKR 2.75 lacs
Suzuki FX  1985 GA for Sale,PKR 2.6 lacs
Suzuki FX  1988 GA for Sale,PKR 3.6 lacs
Daihatsu Charade  1985  for Sale,PKR 4 lacs
Suzuki Khyber  1989 GA for Sale,PKR 3.25 lacs
Suzuki FX  1988  for Sale,PKR 3.4 lacs
Suzuki FX  1988 GA for Sale,PKR 3.8 lacs
Suzuki Mehran  1991 VXR for Sale,PKR 3.1 lacs
Suzuki Other  1980  for Sale,PKR 3 lacs
Suzuki Mehran  1996  for Sale,PKR 4 lacs
Datsun 120 Y  1979 Y 1.2 for Sale,PKR 2.65 lacs
Toyota Corolla  1985 DX Saloon for Sale,PKR 3.8 lacs
Suzuki Mehran  1992  for Sale,PKR 3.1 lacs
Suzuki Khyber  1991 GA for Sale,PKR 3.85 lacs
Suzuki FX  1987 GA for Sale,PKR 2.2 lacs
Suzuki Mehran  1989 VXR for Sale,PKR 3.5 lacs
Suzuki Mehran  1998 VXR (CNG) for Sale,PKR 4 lacs
Daihatsu Charade  1985 CX Turbo for Sale,PKR 3.55 lacs
Daihatsu Charade  1988 GT-ti for Sale,PKR 3.5 lacs
Toyota Corolla  1982  for Sale,PKR 3.8 lacs
Suzuki Khyber  1995  for Sale,PKR 4 lacs
Suzuki Mehran  1997 VXR for Sale,PKR 3.5 lacs
Suzuki Mehran  1998 VXR (CNG) for Sale,PKR 4 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.4 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.7 lacs
Toyota Corolla  1986  for Sale,PKR 4 lacs
Datsun 120 Y  1980 Y 1.2 for Sale,PKR 3.5 lacs
Suzuki Khyber  1994 GA for Sale,PKR 3.14 lacs
Suzuki Mehran  1996 VX for Sale,PKR 2.5 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.85 lacs
Suzuki FX  1985 GA for Sale,PKR 2.75 lacs
Suzuki Ravi  1981  for Sale,PKR 3.5 lacs
Suzuki Mehran  1993  for Sale,PKR 3.4 lacs
Daihatsu Charade  1982 G10 for Sale,PKR 2.5 lacs
Suzuki Mehran  1993 VX for Sale,PKR 3.6 lacs
Daihatsu Charade  1984  for Sale,PKR 3.6 lacs
Suzuki FX  1984  for Sale,PKR 3.75 lacs
Subaru Impreza  1993  for Sale,PKR 3 lacs
Alfa Romeo Other  1989  for Sale,PKR 3.5 lacs
Suzuki FX  1984 GA for Sale,PKR 2.1 lacs
